Table Name,nz Count,sf Count,Diff1,nz Filter,nz Count with Filter,sf FIlter,sf Count with Filter,Diff2,Dupes in NZ,Dupes in SF,Dupes in NZ with filter,Dupes in SF with,Max Audit ID
HUB_XLAT_BILL_CTLG,59963,39675,20288,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,59960,,39675,20285,3,,,,172
HUB_AGRMT_VALUE_CHG_HIST,464261569,418434593,45826976,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL AND SRC_SYS_GUID = SQLTOOLKIT..HASH8('MASCDC'),330549489,,418434593,-87885104,34,10,,10,172
HUB_INVC_LN_ITEM_DTL,4336826100,3105189926,1231636174,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL AND SRC_SYS_GUID = SQLTOOLKIT..HASH8('MASCDC'),2984413351,,3105189926,-120776575,912602425,,223,,172
HUB_AGRMT_LN_ITEM_VALUE_CHG_HIST,2888525094,2891494145,-2969051,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL AND SRC_SYS_GUID = SQLTOOLKIT..HASH8('MASCDC'),2885637969,,2891494145,-5856176,1068565,,,,172
XREF_AR_CSTMR,52030103,51967396,62707,,52030103,,51967396,62707,,,,,168
HUB_AGRMT_LN_ITEM,174359972,136024669,38335303,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL AND SRC_SYS_GUID = SQLTOOLKIT..HASH8('MASCDC'),136031275,,136024669,6606,616548,,,,172
HUB_PARTY_LOC,78588086,77756448,831638,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,78588084,,77756448,831636,2,,,,N/A
DIM_REVENUE_TYPE,19,20,-1,WHERE CURRENT_IND <>120,19,,20,-1,N/A,N/A,N/A,N/A,N/A
DIM_DT_MNTH,3605,3600,5,WHERE CURRENT_IND <>120,3605,,3600,5,N/A,N/A,N/A,N/A,8000014
DIM_PRSNL,786826,754377,32449,WHERE CURRENT_IND <>120,786826,,754377,32449,,30,,30,N/A
DIM_EXCLUSION,570,563,7,WHERE CURRENT_IND <>120,570,,563,7,,,,,0
DIM_PRSNL_HIST,2902237,754416,2147821,WHERE CURRENT_IND <>120,2902237,,754416,2147821,,29,,29,200
DIM_NAICS,2938,2937,1,WHERE CURRENT_IND <>120,2938,,2937,1,,,,,174
DIM_SIC,1012,1011,1,WHERE CURRENT_IND <>120,1012,,1011,1,,,,,174
DIM_SRC_SYS_SVC,151922,138916,13006,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL ,151922,,138916,13006,N/A,N/A,N/A,N/A,174
DIM_SRC_SYS,48,48,0,WHERE CURRENT_IND <>120,48,,48,0,,1,,1,0
DIM_PARTY,39330974,39329982,992,WHERE CURRENT_IND <>120,39330974,,39329982,992,,,,,174
DIM_STATE,4705,4721,-16,WHERE CURRENT_IND <>120,4705,,4721,-16,,,,,174
DIM_CCY,256,255,1,WHERE CURRENT_IND <>120,256,,255,1,,,,,174
DIM_RATE_TYPE,13,13,0,WHERE CURRENT_IND <>120,13,,13,0,,,,,
DIM_UOM,35,34,1,WHERE CURRENT_IND <>120,35,,34,1,,,,,N/A
DIM_FINCL_LOB,453,396,57,WHERE CURRENT_IND <>120,397,,396,1,56,,,,24400821
DIM_PARTY_HIST,50490523,39329982,11160541,WHERE CURRENT_IND <>120,50490523,,39329982,11160541,,,,,174
DIM_SALES_ANALYSIS_LOB,15,14,1,WHERE CURRENT_IND <>120,15,,14,1,,,,,174
DIM_SVC_PRC_HIST,7267812,923386,6344426,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL AND CUR_REC_FLG = 'Y',801016,,923386,-122370,,2,,2,174
SRC_DIM_MASCDC_AGRMT_R2,51409417,51295033,114384,WHERE CURRENT_IND <>120,51009430,,51295033,-285603,N/A,N/A,N/A,N/A,174
DIM_AGRMT_VALUE_CHG_HIST,464317244,418434593,45882651,WHERE CURRENT_IND <>120,464317244,,418434593,45882651,,10,,10,174
FCT_P3_AGRMT_VALUE_DTL,4586865374,4741116718,-154251344,WHERE CURRENT_IND <>120 AND DIM_SRC_SYS_GUID = SQLTOOLKIT..HASH8('MASCDC'),4586865373,,4741116718,-154251345,1,,,,174
