Table Name,nz Count,sf Count,Diff1,nz Filter,nz Count with Filter,sf FIlter,sf Count with Filter,Diff2,Dupes in NZ,Dupes in SF,Dupes in NZ with filter,Dupes in SF with,Max Audit ID
HUB_AGRMT_LN_ITEM_VALUE_CHG_HIST,2941072625,2919403344,21669281,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL AND SRC_SYS_GUID = SQLTOOLKIT..HASH8('MASCDC'),2938185803,,2919403344,18782459,1068254,,,,196
XREF_AR_CSTMR,52269415,52200928,68487,,52269415,,52200928,68487,,,,,186
HUB_AGRMT_LN_ITEM,175211097,136156736,39054361,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL AND SRC_SYS_GUID = SQLTOOLKIT..HASH8('MASCDC'),136065859,,136156736,-90877,651875,,,,196
HUB_PARTY_LOC,79061296,77756448,1304848,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,79061294,,77756448,1304846,2,,,,N/A
DIM_REVENUE_TYPE,19,20,-1,WHERE CURRENT_IND <>120,19,,20,-1,N/A,N/A,N/A,N/A,N/A
DIM_DT_MNTH,3605,3600,5,WHERE CURRENT_IND <>120,3605,,3600,5,N/A,N/A,N/A,N/A,8000014
DIM_PRSNL,790205,755722,34483,WHERE CURRENT_IND <>120,790205,,755722,34483,,,,,N/A
DIM_EXCLUSION,570,563,7,WHERE CURRENT_IND <>120,570,,563,7,,,,,0
DIM_PRSNL_HIST,3564750,755629,2809121,WHERE CURRENT_IND <>120,3564750,,755629,2809121,,26,,26,
DIM_NAICS,2938,2937,1,WHERE CURRENT_IND <>120,2938,,2937,1,,,,,198
DIM_SIC,1012,1011,1,WHERE CURRENT_IND <>120,1012,,1011,1,,,,,198
DIM_SRC_SYS_SVC,152046,138916,13130,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL ,152046,,138916,13130,N/A,N/A,N/A,N/A,198
DIM_SRC_SYS,48,48,0,WHERE CURRENT_IND <>120,48,,48,0,,1,,1,0
DIM_PARTY,39553315,39550185,3130,WHERE CURRENT_IND <>120,39553315,,39550185,3130,,,,,198
DIM_STATE,4705,4721,-16,WHERE CURRENT_IND <>120,4705,,4721,-16,,5,,5,198
DIM_CCY,256,257,-1,WHERE CURRENT_IND <>120,256,,257,-1,,,,,198
DIM_RATE_TYPE,13,13,0,WHERE CURRENT_IND <>120,13,,13,0,,,,,
DIM_UOM,35,34,1,WHERE CURRENT_IND <>120,35,,34,1,,,,,N/A
DIM_FINCL_LOB,453,396,57,WHERE CURRENT_IND <>120,397,,396,1,56,,,,24400821
DIM_PARTY_HIST,50766452,44603525,6162927,WHERE CURRENT_IND <>120,50766452,,44603525,6162927,,2526670,,2526670,192
DIM_SALES_ANALYSIS_LOB,15,14,1,WHERE CURRENT_IND <>120,15,,14,1,,,,,198.00000
DIM_SVC_PRC_HIST,7268628,910016,6358612,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL AND CUR_REC_FLG = 'Y',801085,,910016,-108931,,2,,2,198
SRC_DIM_MASCDC_AGRMT_R2,51980755,51526334,454421,WHERE CURRENT_IND <>120,51580768,,51526334,54434,N/A,N/A,N/A,N/A,198
DIM_AGRMT_VALUE_CHG_HIST,468917287,420926704,47990583,WHERE CURRENT_IND <>120,468917287,,420926704,47990583,,10,,10,198
FCT_P3_AGRMT_LN_ITEM_VALUE_CHG_HIST,2939828854,2919260043,20568811,WHERE CURRENT_IND <>120 AND DIM_SRC_SYS_GUID = SQLTOOLKIT..HASH8('MASCDC'),2939828854,,2919260043,20568811,,12126,,12126,198
P3_AGRMT_CANCEL_AUDIT,105647521,82283885,23363636,WHERE CURRENT_IND <>120 AND P3_AGRMT_STS_CD = 'CANCELLED',105647521,,82283885,23363636,77594022,53941079,77594022,53941079,198
