Table Name,nz Count,sf Count,Diff1,nz Filter,nz Count with Filter,sf FIlter,sf Count with Filter,Diff2,Dupes in NZ,Dupes in SF,Dupes in NZ with filter,Dupes in SF with,Max Audit ID
HUB_SVC_LNK_SVC_HIST,213921,27306,186615,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,213526,,27306,186220,15648,,15585,,196
HUB_ENT_EQPMNT,840,840,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,840,,840,0,,,,,196
HUB_ENT_BILL_ADJSTMT,22,22,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,22,,22,0,N/A,N/A,N/A,N/A,196
HUB_ENT_MATRL,240,241,-1,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,240,,241,-1,,,,,196
HUB_ENT_SRCHRG,203,203,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,203,,203,0,,,,,196
HUB_ENT_SVC_SUB_CTGRY,128,129,-1,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,128,,129,-1,N/A,N/A,N/A,N/A,196
HUB_ENT_PROD,226,226,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,226,,226,0,,,,,196
HUB_UOM_CTGRY,13,13,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,13,,13,0,,,,,196
HUB_INVC,982917421,809588902,173328519,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL AND SRC_SYS_GUID = SQLTOOLKIT..HASH8('MASCDC'),543441123,,809588902,-266147779,427111534,,,,196
HUB_UOM,28,28,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,28,,28,0,,,,,196
HUB_ENT_CTLG,14474,14465,9,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,14474,,14465,9,,,,,196
HUB_SVC_PRC_HIST,7269428,910016,6359412,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,5904111,,910016,4994095,,2,,2,196
HUB_AGRMT_PRC_RATE_RESTRICTN,51411985,52200928,-788943,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,51364308,,52200928,-836620,,,,,196
HUB_XLAT_BILL_CTLG,59981,39687,20294,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,59978,,39687,20291,3,,,,196
HUB_AGRMT_VALUE_CHG_HIST,468916741,420926704,47990037,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL AND SRC_SYS_GUID = SQLTOOLKIT..HASH8('MASCDC'),334064873,,420926704,-86861831,34,10,,10,196
HUB_INVC_LN_ITEM_DTL,4388567337,3129131269,1259436068,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL AND SRC_SYS_GUID = SQLTOOLKIT..HASH8('MASCDC'),3026376329,,3129131269,-102754940,919484058,,223,,196
HUB_AGRMT_LN_ITEM_VALUE_CHG_HIST,2941072625,2919403344,21669281,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL AND SRC_SYS_GUID = SQLTOOLKIT..HASH8('MASCDC'),2938185803,,2919403344,18782459,1068254,,,,196
XREF_AR_CSTMR,52329546,52216812,112734,,52329546,,52216812,112734,,,,,302
HUB_AGRMT_LN_ITEM,175323944,136156736,39167208,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL AND SRC_SYS_GUID = SQLTOOLKIT..HASH8('MASCDC'),136169753,,136156736,13017,651875,,,,196
HUB_PARTY_LOC,79076518,77756448,1320070,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,79076516,,77756448,1320068,2,,,,N/A
DIM_REVENUE_TYPE,19,20,-1,WHERE CURRENT_IND <>120,19,,20,-1,N/A,N/A,N/A,N/A,N/A
DIM_DT_MNTH,3605,3600,5,WHERE CURRENT_IND <>120,3605,,3600,5,N/A,N/A,N/A,N/A,8000014
DIM_PRSNL,790425,755809,34616,WHERE CURRENT_IND <>120,790425,,755809,34616,,,,,N/A
DIM_EXCLUSION,570,563,7,WHERE CURRENT_IND <>120,570,,563,7,,,,,308
DIM_PRSNL_HIST,3638283,755762,2882521,WHERE CURRENT_IND <>120,3638283,,755762,2882521,,,,,
